"GRID_ID","M000","M005","M010","M015","M020","M025","M030","M035","M040","M045","M050","M055","M060","M065","M070","M075","M080","M085","M090","M095","M100","F000","F005","F010","F015","F020","F025","F030","F035","F040","F045","F050","F055","F060","F065","F070","F075","F080","F085","F090","F095","F100"
"I-24",0,0,0,0,0.5502886541613,0,0.4280022865699,0.3668591027742,0.3668591027742,1.2840068597097,1.3451500435054,1.7120091462796,1.3451500435054,1.3451500435054,1.1005773083226,0.7337182055484,0.6725750217527,0.3668591027742,0,0,0,0,0,0,0,0,0.3057159189785,0,0,0,0.611431837957,1.6508659624839,1.4062932273011,1.2840068597097,1.3451500435054,1.1005773083226,1.222863675914,1.222863675914,1.7120091462796,1.0394341245269,0,0
"I-25",0,0,0,0,0.0219214696059,0,0.0170500319157,0.0146143130706,0.0146143130706,0.0511500957471,0.0535858145922,0.0682001276628,0.0535858145922,0.0535858145922,0.0438429392118,0.0292286261412,0.0267929072961,0.0146143130706,0,0,0,0,0,0,0,0,0.0121785942255,0,0,0,0.024357188451,0.0657644088177,0.0560215334373,0.0511500957471,0.0535858145922,0.0438429392118,0.048714376902,0.048714376902,0.0682001276628,0.0414072203667,0,0
"I-3",0,0,0.02520763181167,0.01593408245787,0.05370340204321,0.04249088655432,0.04603179376718,0.04072043294789,0.05193294843678,0.07857400879756,0.09627854486186,0.12856799109925,0.09661556991918,0.08776330188703,0.05353488951455,0.03717952573503,0.01593408245787,0,0,0,0,0.01416362885144,0.01062272163858,0,0.01239317524501,0.03591460971458,0.04122597053387,0.02301589688359,0.03009771130931,0.02124544327716,0.03363861852217,0.06778277463032,0.09644705739052,0.09130420909989,0.0733469042426,0.04249088655432,0.06609657728822,0.05707579672741,0.01062272163858,0,0,0
"I-4",0,0,0.1929753730775,0,0.2701655223085,0,0,0,0.2701655223085,0.308760596924,0.308760596924,0.5017359700015,0.463140895386,0.463140895386,0.1929753730775,0,0,0,0,0,0,0,0,0,0,0.231570447693,0.231570447693,0,0,0,0,0.231570447693,0.385950746155,0.463140895386,0.3473556715395,0,0.2701655223085,0.1929753730775,0,0,0,0
"I-5",0,0,0.706911023485,0,0.989675432879,0,0,0,0.989675432879,1.131057637576,1.131057637576,1.837968661061,1.696586456364,1.696586456364,0.706911023485,0,0,0,0,0,0,0,0,0,0,0.848293228182,0.848293228182,0,0,0,0,0.848293228182,1.41382204697,1.696586456364,1.272439842273,0,0.989675432879,0.706911023485,0,0,0,0
"I-6",0,0,0.597871816425,0,1.141756731066,2.350822022262,3.134429363016,1.654282163814,1.49002666029,1.348398576657,1.740202247034,2.251006581153,2.000830994409,1.739628547491,0.902608004496,0.261202446918,0,0,0,0,0,0,0,0,0,0.935114885475,2.066992155453,0.696539858448,0.391803670377,0,0.217668705765,1.544587261617,1.456946079768,1.652561065185,1.380905457636,0,0.837020542995,1.163810451414,0,0,0,0
"I-7",0,0,0,0,0.892806546793,6.887364789546,9.183153052728,4.846664111162,1.913156885985,1.147894131591,2.295788263182,2.040700678384,1.658069301187,0.892806546793,0.892806546793,0.765262754394,0,0,0,0,0,0,0,0,0,0.637718961995,3.953857564369,2.040700678384,1.147894131591,0,0.637718961995,2.423332055581,0.765262754394,0.637718961995,0.892806546793,0,0,1.658069301187,0,0,0,0
"I-8",0,0,0,0,0.892806546793,6.887364789546,9.183153052728,4.846664111162,1.913156885985,1.147894131591,2.295788263182,2.040700678384,1.658069301187,0.892806546793,0.892806546793,0.765262754394,0,0,0,0,0,0,0,0,0,0.637718961995,3.953857564369,2.040700678384,1.147894131591,0,0.637718961995,2.423332055581,0.765262754394,0.637718961995,0.892806546793,0,0,1.658069301187,0,0,0,0
"I-9",15.227012344792,21.4441796571559,22.889219527339,94.9442853730586,107.008485479347,249.686879228237,217.580013546965,139.461729885631,79.1157855381583,91.6558362478021,60.7531953050586,78.7343072771626,43.6631826711021,21.1594116620294,9.7692721481819,8.84557115411095,1.848498480355,5.175795744994,0,0,0,11.543569105559,9.500844502155,19.3919120309865,65.9052323868612,122.980467130745,172.269514701066,111.723908795672,54.6411668925474,40.6208213957067,57.6204360275456,70.4161267996664,63.6651015803871,52.0839160096969,25.5207382984276,11.8557491657365,17.5247825757004,19.3218228300531,15.3136297363405,2.957597568568,0,0
"J-10",10.1336850573762,6.717452362434,8.984434867472,307.400647318967,145.802386842555,21.357813542836,22.1826152126676,19.2580332570692,15.054725497321,13.9408697679128,10.2348135589174,7.0850313731078,5.9755379264362,4.378870550786,2.630904538104,2.904604313989,0.613103734855,1.716690457594,0,0,0,7.0651295018384,7.12312197184,5.66150833956,151.370368572205,51.316413542009,9.4696129702158,10.6820449007068,12.9910056720794,9.2189039685768,12.3429527817134,7.1707010495836,5.976319001905,3.244008272959,4.231598426007,5.073484146152,4.790996751068,3.065518674275,5.027450625811,0.980965975768,0,0
