자연녹지지역,주거지역,준주거지역,상업지역,공업지역,근린상업지역,GRID_ID
1787825.4519979,0.0,0.0,0.0,0.0,0.0,O-22
1395456.8943162,590.719430416,0.0,0.0,265783.3521661,0.0,O-23
1662934.428563,0.0,0.0,0.0,0.0,0.0,O-24
1659560.18319538,0.0,0.0,0.0,0.0,0.0,O-25
1913606.663709,231727.3290067,15365.065469,18736.9088571,6888.95019568,0.0,O-4
2077106.645381,632961.777912,0.0,175617.782969,439850.892649,0.0,O-5
2112745.254156,0.0,0.0,0.0,1212788.35848,0.0,O-6
3121191.84026,2979.90299079,0.0,0.0,201363.178334,0.0,O-7
3306021.45354,19516.0155027,0.0,0.0,0.0,0.0,O-8
3286929.6022145,38608.3293611,0.0,0.0,0.0,0.0,O-9
3325537.49656689,0.0,0.0,0.0,0.0,0.0,P-10
3303560.96614,0.0,0.0,0.0,0.0,0.0,P-11
2629339.270424,688772.2009795,0.0,0.0,0.0,7353.1183667,P-12
1668400.5195498,1573865.263291,0.0,83258.4897166,0.0,0.0,P-13
1805008.917869,1515658.605628,6040.49676512,0.0,0.0,0.0,P-14
1918653.914464,1333856.818552,35318.5469485,13312.0356306,0.0,24922.0545647,P-15
2038191.309145,1030492.774422,22026.7734437,0.0,0.0,2610.61287899,P-16
1002536.83996892,861855.4968106,4422.90259951,0.0,0.0,0.0,P-17
3188534.22676,14618.2325548,0.0,0.0,0.0,0.0,P-18
3325537.44,0.0,0.0,0.0,0.0,0.0,P-19
3325537.92,0.0,0.0,0.0,0.0,0.0,P-20
3325537.44,0.0,0.0,0.0,0.0,0.0,P-21
3150421.76331749,0.0,0.0,0.0,0.0,0.0,P-22
1863559.838836,8806.77436776,0.0,0.0,5049.1679005,0.0,P-23
1636556.769878,0.0,0.0,0.0,26211.9984676,0.0,P-24
1658964.60185933,0.0,0.0,0.0,0.0,0.0,P-25
1635036.1630729,24308.92392841,0.0,0.0,0.0,0.0,P-26
2219762.764045,55304.52672,0.0,0.0,0.0,0.0,P-5
3324823.80028,0.0,0.0,0.0,713.646415608,0.0,P-6
3325537.44,0.0,0.0,0.0,0.0,0.0,P-7
3251918.72475,73619.1659068,0.0,0.0,0.0,0.0,P-8
3325537.44,0.0,0.0,0.0,0.0,0.0,P-9
3325520.69003,0.0,0.0,0.0,0.0,0.0,Q-10
3303268.8217,0.0,0.0,0.0,0.0,0.0,Q-11
3274123.372656,164540.0162204,0.0,0.0,0.0,0.0,Q-12
3095530.305475,229968.65874301,0.0,0.0,0.0,0.0,Q-13
2756656.25721,534797.82086409,34065.3259532,0.0,0.0,0.0,Q-14
2316865.1222193,976681.3009862,31990.7899148,0.0,0.0,0.0,Q-15
2651930.520666,547501.9407859,96535.1743165,29566.228729,0.0,0.0,Q-16
2548208.85579,491542.7225091,5957.51944838,0.0,0.0,0.0,Q-17
2898960.06376,403641.9696867,0.0,0.0,0.0,22935.3434116,Q-18
3180667.1553,14333.2761067,0.0,130537.164214,0.0,0.0,Q-19
3325537.44,0.0,0.0,0.0,0.0,0.0,Q-20
3325537.44,0.0,0.0,0.0,0.0,0.0,Q-21
3277380.49551719,0.0,0.0,0.0,0.0,0.0,Q-22
2241748.36147992,0.0,0.0,0.0,0.0,0.0,Q-23
1630956.7355437,0.0,0.0,0.0,0.0,0.0,Q-24
1472615.9729048,179764.1731388,9438.28153727,0.0,0.0,0.0,Q-25
1776720.102307,0.0,0.0,0.0,0.0,0.0,Q-3
2266608.655337,0.0,0.0,0.0,0.0,0.0,Q-4
3314135.36358,0.0,0.0,0.0,0.0,0.0,Q-5
3325537.44,0.0,0.0,0.0,0.0,0.0,Q-6
3325537.44,0.0,0.0,0.0,0.0,0.0,Q-7
3319169.19805,0.0,0.0,0.0,0.0,0.0,Q-8
3325194.0304036,0.0,0.0,0.0,0.0,0.0,Q-9
3325537.44,0.0,0.0,0.0,0.0,0.0,R-10
3325537.92,0.0,0.0,0.0,0.0,0.0,R-11
3325537.44,0.0,0.0,0.0,0.0,0.0,R-12
3325348.95068572,0.0,0.0,0.0,0.0,0.0,R-13
3325537.44,0.0,0.0,0.0,0.0,0.0,R-14
3302516.31688,23021.1147417,0.0,0.0,0.0,0.0,R-15
3301349.63805,24187.78862399,0.0,0.0,0.0,0.0,R-16
3325537.68,0.0,0.0,0.0,0.0,0.0,R-17
3278673.55757,46864.1602731,0.0,0.0,0.0,0.0,R-18
2884112.94141,326790.5999627,0.0,113104.693251,0.0,1529.23797895,R-19
3204878.95043,0.0,0.0,120659.028651,0.0,0.0,R-20
3325537.44,0.0,0.0,0.0,0.0,0.0,R-21
3325537.44,0.0,0.0,0.0,0.0,0.0,R-22
2669153.4456291,0.0,0.0,0.0,0.0,0.0,R-23
1662403.0533677,0.0,0.0,0.0,0.0,0.0,R-24
2223115.47807,0.0,0.0,0.0,0.0,0.0,R-3
3161325.563579,0.0,0.0,0.0,0.0,0.0,R-4
3316090.68891544,0.0,0.0,0.0,0.0,0.0,R-5
3325537.44,0.0,0.0,0.0,0.0,0.0,R-6
3321840.73955,0.0,0.0,0.0,0.0,0.0,R-7
3316899.78916,0.0,0.0,0.0,0.0,0.0,R-8
3325537.44,0.0,0.0,0.0,0.0,0.0,R-9
3325537.44,0.0,0.0,0.0,0.0,0.0,S-10
3325537.44,0.0,0.0,0.0,0.0,0.0,S-11
3325537.44,0.0,0.0,0.0,0.0,0.0,S-12
3225791.2797,99746.6595407,0.0,0.0,0.0,0.0,S-13
3312493.04524,13044.401236,0.0,0.0,0.0,0.0,S-14
3325537.2,0.0,0.0,0.0,0.0,0.0,S-15
3325537.68,0.0,0.0,0.0,0.0,0.0,S-16
3132049.92115,0.0,0.0,0.0,0.0,0.0,S-17
3325537.92,0.0,0.0,0.0,0.0,0.0,S-18
2799022.99845,0.0,0.0,0.0,0.0,0.0,S-19
1654723.77444978,0.0,0.0,0.0,0.0,0.0,S-2
2607533.777793,0.0,0.0,0.0,0.0,0.0,S-20
2881988.61339,0.0,0.0,0.0,0.0,0.0,S-21
2479908.82950041,0.0,0.0,0.0,0.0,0.0,S-22
2003184.920804,0.0,0.0,0.0,0.0,0.0,S-3
1808728.884018,0.0,0.0,0.0,0.0,0.0,S-4
3321707.28255,0.0,0.0,0.0,0.0,0.0,S-5
2946780.427629,0.0,0.0,0.0,0.0,0.0,S-6
3325537.44,0.0,0.0,0.0,0.0,0.0,S-7
3325537.44,0.0,0.0,0.0,0.0,0.0,S-8
3325537.92,0.0,0.0,0.0,0.0,0.0,S-9
3325537.44,0.0,0.0,0.0,0.0,0.0,T-10
3325537.92,0.0,0.0,0.0,0.0,0.0,T-11
3325537.44,0.0,0.0,0.0,0.0,0.0,T-12
3325537.4399972,0.0,0.0,0.0,0.0,0.0,T-13
2721299.73552,43117.1414426,0.0,0.0,0.0,0.0,T-14
2591424.901523,0.0,0.0,0.0,0.0,0.0,T-15
1886373.95989,0.0,0.0,0.0,0.0,0.0,T-16
1951103.111025,0.0,0.0,0.0,0.0,0.0,T-17
1930138.357324,0.0,0.0,0.0,0.0,0.0,T-18
1867160.468917,0.0,0.0,0.0,0.0,0.0,T-19
1675979.11241817,0.0,0.0,0.0,0.0,0.0,T-22
2550618.179863,0.0,0.0,0.0,0.0,0.0,T-5
1727610.2313528,0.0,0.0,0.0,0.0,0.0,T-6
1729266.3207906,0.0,0.0,0.0,0.0,0.0,T-7
2272871.670832,0.0,0.0,0.0,0.0,0.0,T-8
3325537.44,0.0,0.0,0.0,0.0,0.0,T-9
3325537.44,0.0,0.0,0.0,0.0,0.0,U-10
3325537.44,0.0,0.0,0.0,0.0,0.0,U-11
3321235.88778939,0.0,0.0,0.0,0.0,0.0,U-12
2189867.06826587,0.0,0.0,0.0,0.0,0.0,U-13
1657767.63413,0.0,0.0,0.0,0.0,0.0,U-7
2929743.540181,0.0,0.0,0.0,0.0,0.0,U-8
3325537.92,0.0,0.0,0.0,0.0,0.0,U-9
2589627.104581,0.0,0.0,0.0,0.0,0.0,V-10
2199016.043417,0.0,0.0,0.0,0.0,0.0,V-11
2120964.9760329,0.0,0.0,0.0,0.0,0.0,V-12
1781068.63764916,0.0,0.0,0.0,0.0,0.0,V-13
1658792.79163,0.0,0.0,0.0,0.0,0.0,V-7
1870220.95469,0.0,0.0,0.0,0.0,0.0,V-8
2766081.492309,0.0,0.0,0.0,0.0,0.0,V-9
1651449.37448,0.0,0.0,0.0,0.0,0.0,W-7
1662768.72346,0.0,0.0,0.0,0.0,0.0,W-8
1571878.03926,0.0,0.0,0.0,0.0,0.0,W-9
1585459.17412,0.0,0.0,0.0,0.0,0.0,X-10
1613634.34469,0.0,0.0,0.0,0.0,0.0,X-9
